id_uf,sigla,nome,dt_inclusao,dt_alteracao,is_deleted,usuario
1,"AC","ACRE","08/20/15 16:43:08",,0,"ECAD"
2,"AL","ALAGOAS","08/20/15 16:43:08",,0,"ECAD"
3,"AM","AMAZONAS","08/20/15 16:43:08",,0,"ECAD"
4,"AP","AMAPA","08/20/15 16:43:08",,0,"ECAD"
5,"BA","BAHIA","08/20/15 16:43:08",,0,"ECAD"
6,"CE","CEARA","08/20/15 16:43:08",,0,"ECAD"
7,"DF","DISTRITO FEDERAL","08/20/15 16:43:08",,0,"ECAD"
8,"ES","ESPIRITO SANTO","08/20/15 16:43:08",,0,"ECAD"
9,"GO","GOIAS","08/20/15 16:43:08",,0,"ECAD"
10,"MA","MARANHAO","08/20/15 16:43:08",,0,"ECAD"
11,"MG","MINAS GERAIS","08/20/15 16:43:08",,0,"ECAD"
12,"MS","MATO GROSSO DO SUL","08/20/15 16:43:08",,0,"ECAD"
13,"MT","MATO GROSSO","08/20/15 16:43:08",,0,"ECAD"
14,"PA","PARA","08/20/15 16:43:08",,0,"ECAD"
15,"PB","PARAIBA","08/20/15 16:43:08",,0,"ECAD"
16,"PE","PERNAMBUCO","08/20/15 16:43:08",,0,"ECAD"
17,"PI","PIAUI","08/20/15 16:43:08",,0,"ECAD"
18,"PR","PARANA","08/20/15 16:43:08",,0,"ECAD"
19,"RJ","RIO DE JANEIRO","08/20/15 16:43:08",,0,"ECAD"
20,"RN","RIO GRANDE DO NORTE","08/20/15 16:43:08",,0,"ECAD"
21,"RO","RONDONIA","08/20/15 16:43:08",,0,"ECAD"
22,"RR","RORAIMA","08/20/15 16:43:08",,0,"ECAD"
23,"RS","RIO GRANDE DO SUL","08/20/15 16:43:08",,0,"ECAD"
24,"SC","SANTA CATARINA","08/20/15 16:43:08",,0,"ECAD"
25,"SE","SERGIPE","08/20/15 16:43:08",,0,"ECAD"
26,"SP","SAO PAULO","08/20/15 16:43:08",,0,"ECAD"
27,"TO","TOCANTINS","08/20/15 16:43:08",,0,"ECAD"
